sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89
497A,143721,-0.06644233663398193,0.040792177746109264,0.0015998366852110625,-0.01164483340378347,0.023857032424061286,-0.03110757951393953,0.00032389737918840617,0.0070711947029536495,-0.0014384248557809771,0.028206377228395717,-0.009392577356470632,-0.001961103282465003,-0.005073209711602059,-0.00018801315431546216,-0.004340439901694652,0.011173911773467372,-0.0007508813526430975,-0.0032155147601187696,-0.003778661992609684,-0.0006272973943863605,-0.013445338088502066,-0.009353164147315166,0.00032527800356507415,-0.0025992746213273302,0.0012578581081410618,0.0028960347511071327,0.0003592470015219971,-0.009047363446670481,0.002395073620299606,0.0023978162561970585,0.001999551273173696,0.0015356157489031079,-0.0036240263669179615,-0.0018522911870236817,0.005015692227899622,-0.0016084114602411357,0.00019795864855577222,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497B,143722,-0.05118116907105922,0.042456927607508556,-0.025081993901026358,0.0023744748087970603,0.015803176513574126,0.012531757619348749,-0.0009962571641766566,0.005717296299869695,-0.002757273142133872,-0.006042781610185263,0.0017769361178826281,-0.0013737310605908483,0.007104400683138918,-0.0012604234984543445,-0.007422849377427651,0.001284170011597587,0.016454327756684088,-0.004517568233994339,0.012347985872058665,0.0034156538172357516,-0.0012018163475511303,-0.002742014960006994,-0.0014064102940625136,0.005049759575003076,0.0004327257060798941,0.007257799003342711,-0.001329849879726833,-0.006048658165377108,-0.0011095150211995518,0.00037326008207895825,0.0027095813863202358,-0.0011978490219768819,0.004905948450165445,-0.0019762541827375024,0.0027998158387583416,-0.00020094125597291452,0.00045898409084169225,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497C,143723,-0.07209782331872984,-0.08136517107937474,-0.011997922830698485,0.011670683029368327,0.030739244032578723,0.012625735648851713,-0.029802892433096476,0.018064573014914168,0.0078017678233418064,-0.014148549823419149,-0.018036123273934307,-0.020116093578162055,0.010120468371997027,-0.021125854765205242,-0.00903528560120862,-0.009269041233692725,-0.022892500409379783,-0.011750678718796849,0.007883933819156086,0.006678954639987145,0.011816931994254447,-0.010053061988599217,-0.003254588489934869,-0.01328102886484489,0.010445094842882826,-0.003552195644614607,-0.004316099632326431,-0.007548116050660651,0.003636570822360123,0.00044660645843741417,0.0005798070589108349,0.0004984870630895147,0.00014266109241262436,-0.00016305639044621165,-0.00042980853035561365,0.0001461958956740638,-0.0007663972638213218,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576A,143730,-0.11476184621355791,-0.0411518047370544,0.075212990521284,-0.006294969674779084,-0.009209644179049969,-0.05636288316216876,-0.023725639062498773,-0.0475910751849409,0.0022491726481177875,0.05035078842037656,0.0016227987617634118,0.014661539513246615,0.010928009399173575,0.007559537017391184,-0.011798652969458841,0.013934773987228257,0.00886557001618725,-0.009814705199334552,0.03146929307744891,-8.118862767211178e-05,0.0045430545927056835,0.00856628827091163,0.00775426097167218,0.0035032747016215367,0.0019728213216865242,-0.0005298570697784323,0.0007130273791059007,0.002114984912369123,-0.0017112134276993977,-0.0015429892312896212,-0.0003955835147953748,0.0015334019051089054,-0.000532851645467746,0.000728782242389279,8.525524862618496e-05,3.241552409344582e-05,-0.0004845905548706949,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576B,143731,-0.09593892667234978,-0.060655793701151574,0.03467541525748424,-0.012121064235638128,0.033290473175820026,0.005838383619030895,-0.004870532755980902,-0.004756291849634544,4.556078292071721e-05,-0.03482966096199102,0.0037919805839168493,-0.015230339559695213,-0.013571485614196514,0.002997612306529226,-0.0008762648381676978,-0.0114644942721558,0.02098649893305816,-0.0055509100203866,-0.03358464273581271,0.0031316459721510213,0.0034047475709334464,-0.0034934759004858888,-0.004351767798550342,-0.0057511988573400495,0.0026803849898861345,0.0034563500813558916,0.0012573732863289094,0.002264955950958126,0.0033913494711323615,0.0004375256059383595,-0.005205526286213577,-0.001382703257447787,-0.00031532281399703854,-0.0007387774832164488,-0.0014263814078972824,-0.00037851869633327945,-0.0002538955425795009,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576C,143732,0.04126909062749085,0.09081953322408973,0.06767052022308935,-0.024936717687392758,0.0020934848758124274,-0.020037263385559157,0.001176699063733337,0.06004338623077366,0.05837837645314938,0.016667367381103703,0.03675786970370793,0.04868369239984858,-0.02663579521776217,-0.019199340782766257,0.012226063071980034,0.0088253427343671,-0.004013089403494212,0.013461779862321709,-0.007540464163912253,-0.0046680169063521414,-0.005681746013831632,0.008798292881764612,-0.012535166048399748,-0.002567444022377975,-0.0034686493740059654,0.001071797912319305,-0.0026021675120953608,-0.0031917613557291835,-0.00010189511167444008,-0.0020055010156194678,0.0004332229192875099,0.0003222965915189032,-0.0006729120883618826,0.00016894362259835648,0.00015181667006682417,-0.00015262378968202504,-6.604555763825582e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612A,143739,-0.07141571986609538,0.02260406137334923,0.01886979459530068,0.013354242634571481,-0.004933573991079727,-0.012003659950001105,0.018284707580678256,-0.030210091255936364,-0.031177030647746296,0.0137251108602305,0.011755585313923225,-0.010898794651536592,0.002706426605681364,0.01209232436099192,0.017233878625504965,0.0017589832827596438,-0.012391232590610238,0.004088922314399092,-0.00907934352112679,-0.0028323815375265646,-0.000923505434741425,-0.016935166358873033,0.0009744024689615872,-0.009567526802275248,-0.0012722712238571248,0.0018294723818067188,-0.010867879945187018,0.0032921117198520464,-0.0023855495088312643,0.0008732424796487913,0.0010455358326005092,-0.0010726266222335398,0.0004336839266387968,0.0009669634757054681,0.0005573921629872199,-0.0005986128640042281,-2.8280081469357106e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612B,143740,-0.06754861003860745,0.03912464924564969,-0.04555127393964528,0.0008575710456824837,-0.0067349652744114015,0.06451514107714623,0.02070128979207908,-0.01237283064707889,-0.010455300850653533,0.023019736478274537,0.030752931929533607,0.007192481796710961,-0.03591743736582216,0.004483071722993809,-0.004199017086735562,-0.005804326160303482,0.009250444817974247,-0.012959883338156468,0.01889323213186785,-0.008118455155959154,-0.012456280361683121,-0.010929675792603993,-0.007218245081885069,-4.1730240615820524e-05,-0.0009095612414422251,-0.014134319264830301,-0.002270468771256353,0.0006217865734950737,0.002271659994832302,-0.0005767870523621668,-0.0022853895721216735,-0.0017220846835829754,0.0010418390322806594,0.001335898400754437,0.0014248989889215121,1.340726931010893e-05,-0.0003914163828132604,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612C,143741,-0.05801558773150985,0.002650390900974106,-0.04365105761197631,0.0633772618347505,-0.03162999020302661,-0.007330518606542126,0.013750582119920899,-0.005875566481270549,0.051701906339084926,0.03313120020752518,0.003554239881229122,-0.028057921733807747,-0.0024621065067110546,0.011431006349220015,0.013677210419359931,0.019265933668226036,0.003452266246751146,-0.0001623918534449216,-0.007279855024558777,-0.006232757560553225,-0.002004245649091707,-0.0052153314943543085,0.005703889589755096,-0.006327702524323071,-0.011477231029388668,0.004554114845024399,-0.003483516144677543,-0.004382870223521486,-0.0022727266930028293,-0.0009000836361565455,0.0022466365528061344,0.002257733731839287,-0.0008311013224914993,0.0011203718153630804,0.0015532604285378323,0.0009005280064174311,0.00047095849578954847,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620A,143742,-0.06997353738315237,-0.07012835250919675,-0.00479891532404658,0.008045123223844248,0.02731619045929754,0.02442411445682403,-0.02169636942893473,0.014622443224442784,0.013511405775777547,-0.021280865015977705,-0.000977275618836553,-0.010810387013588591,-0.0024285971511513655,-0.012622490874695427,-0.010284348930611633,0.00014703348701451723,-0.005464122860434658,-0.00490196177473382,0.01340370544215266,0.004936273248441299,0.0076396224131073396,0.014021807446394892,-0.0030573049358351874,-0.003111442395455396,-0.012944850469659173,0.003077711205821604,0.0007181012898220588,0.0031835240740730494,-0.0037511428395021157,0.00552759200921575,0.001275201660900634,-0.0006300718629109182,-0.001936354011934585,0.002458083946601867,0.0008556846245818842,0.00010098429308662987,0.0008981010645880277,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620B,143743,-0.09384445095815566,-0.07350949664352675,0.03680421918878253,-0.008032674704593255,-0.00657896488437903,0.03983305498349545,0.012860936329107918,-0.023483641502944047,0.001310946443182988,-0.023827569756035262,0.0005049455381665476,-0.0004590425747796865,-0.008572560049034493,-0.006454932538530836,-0.001977716138987118,0.000878219389140903,-0.011032516748184652,-0.013869193259184886,-0.014993151223996637,-0.0020165517289082754,-0.004194686972861321,-0.0004995328088619687,0.00288146319134498,-0.002085854163634703,-0.0023899993015810213,-0.0016770866047881566,0.003403810877271986,0.0024775875938540864,-0.0007871067784004861,-0.005653295476968137,0.0076135853455002395,0.003400943531872327,-0.0005090126314541623,0.0014315330669268942,0.0016469096750260546,-0.0010282589275504433,-0.000321801511835628,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670C,143753,0.19046327107100897,0.08175398675888268,0.025308094067606292,-0.011199938161768425,0.005547672745700373,0.011843696611445277,-0.01780006041531684,0.03390616548270252,0.00867782052456715,-0.002223003177263076,0.01314318579610808,-0.021482476736343417,0.018391788290825856,0.005491599575909186,0.007448726121796271,-0.03876966914465127,-0.0005899553874442834,0.0025692967996688736,0.0024380589870634417,-0.005490533223510289,-0.020068672344879086,-0.005230040951708932,0.02542461482446894,0.005069172955239284,0.0027739641198268527,-0.003449423525778237,0.006557399676876182,0.002590732029984192,-0.0007105253013286192,0.0043825833899709945,-0.003445217065646994,-0.0005840012815828609,-0.0007583524067656998,-0.000682907811044724,0.0001512027142592039,0.00012498986085665004,0.00017601233625905206,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677B,143755,0.3020427302203584,0.10314095850506383,0.058022850325350935,0.006803372937424625,-0.02242223606844679,0.03706418402120757,0.057241650758775464,-0.0234450268051604,0.006277101848060976,0.03796830124594921,-0.05059866995223158,-0.012471951285969436,-0.015868586181863945,-0.0009624684578857752,-0.0005064948105197979,-0.029103676847716625,-0.00821010685576585,0.013720912718873466,0.018517904854678535,0.02204230989653838,-0.006630813181121236,0.002931996105261914,-0.011270395566823268,0.004926077848462983,-0.009712172780393826,-0.0009702461510974187,0.00038856542421890263,-0.0017780731570835513,0.0009192862666675742,-0.002432947496570783,0.001292829978535087,-0.0010376983987678817,0.00013915643220269465,-0.0009050254905225253,2.2503309137112777e-05,-7.632650076523684e-05,-0.0003456334881176152,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684A,143757,-0.06831773140800766,0.06126623784104418,-0.00896175064904807,0.00012431513559015773,0.013788667494419137,-0.002817524008316425,0.003971708789377205,0.004053990347177451,0.0005996865153630409,-0.02008092465914847,0.009474886170598018,0.007079786436485287,0.003395404674859935,-0.012749113057660829,0.00029690652404830545,-0.0074302285808259035,-0.0009715520585085563,0.00678815375830958,0.009179064375799316,-0.0030519601416628636,-0.005391865686429157,0.0012167233203126938,-0.007774616162145987,0.025505954517262897,-0.001065954272201103,-0.009466353969838758,-0.009515827530120225,-0.00362519665279903,0.002122102378333071,0.0012911617601606327,-0.00011386899161029462,0.0015180761392833766,-0.0022996297639409293,0.0010868924756699749,-0.0019805497518481908,-0.0019044732450714274,-2.4240774341277037e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684B,143758,-0.04726235083871173,0.03703696915720828,-0.03596883901545246,-0.005188901170515355,-0.007734874860094782,0.016352908832533635,-0.03270593446163029,0.010969308539495556,-0.01612960735415831,0.0017125414984292594,-0.006051782022462091,-0.002284213552543396,-0.004075772846716728,-0.0020113637933432296,0.01111430235807702,-0.003036782572868707,-0.001409935549631184,0.0037294218055605975,0.0030054423766752527,0.002745313968134512,-0.005868052364166856,0.008122724670897617,-0.009861110605258683,0.005028459585711418,0.005076722044629064,0.011378830906963807,0.0032989842111362756,-0.0010152126655502288,-0.001982567438689647,-0.00680837419118933,0.002312991093546804,0.0005997062141014539,0.0011928233667770985,-0.0016532717759469456,-0.0014930897238351018,0.0004969144499708041,0.0024991235981043822,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70A,143760,-0.09106375354119567,0.0745293811907633,0.002348121179903102,0.0047509482921998265,0.01262940425048648,-0.017850249192830476,0.016631838875077062,0.012104583767822159,0.033850617760195816,-0.00825522666988376,0.0014124932333280241,0.015113023996229677,-0.013661751722184734,-0.012414865313178706,-0.002386509901355738,-0.009201347075525059,0.003443496891681648,-0.030161888691869677,-0.004800425003436406,0.009923278336178551,0.008131152103909108,-0.010500121553291535,0.003629187356248109,0.010502518696380685,-0.0034767399355798956,0.009688759503096648,0.0018195923163094984,0.004479619967246689,0.0026271874348817626,-0.0004997724526667737,-0.0034571193097194274,0.0031952594988646963,-0.0009500682427686179,0.0004910457081098739,0.002600795136636698,0.0027829156690262202,0.0005100068074013401,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70B,143761,-0.05185249100791281,-0.07830284836993011,-0.08241611683975397,0.0664284339086526,-0.041650772857518774,0.01127943543121374,-0.03034237520505654,-0.07699040088278376,0.03258445344068039,-0.015614014172126298,0.009703133415029788,0.00045426166973150546,0.0073818552062326626,-0.0027793100683546237,-0.016949749955198296,-0.002406484310098281,0.017719239243454987,0.02209071769531128,-0.011925549223721897,-0.0006500248908569811,-0.014475044863120949,0.008933957606429933,0.0033575663825410633,-0.0005240696302332779,0.0038533116371014865,0.003424270157949692,-0.0014193848866203903,-0.0018345611445733758,0.0011858112849549498,-0.0021241725993488398,-0.0013901235742832113,0.00027076698051916454,-7.96626896149751e-05,-1.5556068137752197e-05,-0.00037267794290897174,-0.000828954582957021,-0.0005154718280520649,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742A,143762,-0.03782355952570825,0.03180204003560636,-0.05538009054572224,0.08037291238465749,0.012368404348392108,0.0008924651377558481,0.016980230088887063,0.03127639662961924,0.016934068147393806,0.01395034719005739,-0.03961689557938377,-0.0043263237625157285,0.01437399812105019,-0.0055951691034070465,9.352843453520523e-05,0.012584205068307935,0.014876273343603131,0.022874462039883237,-0.010898999707139213,-0.011832018187405523,-0.0013566343997418152,0.0016817500440389757,-0.021278501290224395,-0.000643473172415519,0.009998281539170775,-0.0017960559162464203,0.006206897151195903,0.0057254899678583675,0.00021599904993049467,0.0024661384524736823,0.00015766234576369695,-0.0005468290378233738,-9.983075293932178e-05,-0.00020291619000396656,-0.0003675131053378215,6.268427580679823e-05,-0.00011352773559595963,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742B,143763,-0.07910463314893063,0.05301735220803773,-0.026634808042978332,-0.03691553793166217,-0.005545592705867589,0.02297015483560274,-0.03659972808818573,0.013852604019354613,-0.04208342609426026,0.010477361925847755,-0.009792944088335651,-0.019485642107507195,-0.04018915192584514,-0.004649762718878941,0.0011210295905273576,0.0417298003714968,0.029068969735981304,0.01066746108043854,-0.008135072216830965,0.009268651196897081,-0.004769485525838645,-0.0005377212979278912,-0.004287237585411539,0.0024847937233378778,-0.0002872304179729241,-0.0002565920159547597,0.0008401367616027977,0.004532399265421986,0.001859310133650613,0.003914174816772323,-0.003255585674035075,-0.0004982394133944041,0.0008056888625009741,0.0006253909151495157,-0.00018715478728982237,0.0005129361096034433,-4.0541207228602425e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742C,143764,-0.1182432600675808,0.0953107016680078,0.028756276716754323,-0.025652998593065246,-0.01005270815017726,-0.025588055708504316,0.012504067919642889,0.004634053922918885,0.02298482292242769,-0.015929015732579013,-0.006041651854613989,-0.031225026048469384,-0.04239378655810694,-0.0033614601080697343,-0.007092824015706152,-0.005262609590611952,0.014072199000169889,0.02647145271878387,-0.017035224850226804,-0.0109127328340743,0.00956030036948325,0.0009883283591660187,0.011349952923180723,-0.005963159384798834,-0.0009089177395568263,-0.001951162969598472,-0.003439925999636625,-0.0007103474108055372,-0.005035193946457224,-0.0004884459886580528,0.0029254417118893513,-0.002819247197705203,-0.0013457603028932319,0.0005308861101161608,-0.0010109011654990923,-0.00010563544035606738,-0.00014339160958252973,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745A,143765,-0.061914777511210536,0.028191036364336376,-0.0026260999281753124,-0.0016223507246415593,-0.01432901165904719,0.024226819159280065,0.024794331633721012,-0.009003194427974872,-0.011888808943283521,0.006946906705735583,-0.011008482629024693,0.012814316603754447,0.004073645809831547,-0.0015904326984073965,0.0028356249691536546,0.008936123385699147,0.006893744693503542,-0.004619246126018786,-0.0010705024166989066,-0.0012928239707114266,0.0032161535039348745,-0.007243234833507773,0.005627674302609605,0.008685119229082314,-0.0008184817572322754,0.004670755375193941,0.001956754574333438,0.0029704608634201143,0.0012032552709050962,-0.0036134625464149675,-0.003643624998819249,0.0003042740405872773,0.002117175211498886,0.002831848084813038,-0.004233956388053699,0.0009664463786633768,0.00021569325867262115,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745B,143766,-0.052432704257575624,-0.026794381443909783,-0.0019320437968051018,0.0036279931130510294,0.020881969256290166,-0.01093603469596108,-0.036571666732342335,-0.019969230007350063,0.003448581250149811,-0.002068536697467481,0.007870760281156429,0.006777878139558399,0.010849968148763453,-0.010283821035344832,-0.010066931282473332,-0.010790178690743522,0.007335326528910578,0.012723240229478799,-0.00239034851281403,-0.0076996307174030665,0.0029850524768492985,-0.006652829240773966,-0.010280352936041922,0.003870463820378702,-0.010492677686610358,-0.002271569271763881,-0.00102836287703476,0.0021308008179308706,0.0006239191645041831,0.004632280965980994,0.0018723182026871162,-0.0014917065591413764,0.0026722241328389616,0.0009107914553627654,0.0002949562122445921,0.0010919560985870591,0.0008077198727038183,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
